chr	trxpt_id	region	strand	start	end	num_exons	length	FPKM.abund_12hrsS1	FPKM.abund_12hrsS3	FPKM.abund_24hrsS1	FPKM.abund_24hrsS2	FPKM.abund_24hrsS3	FPKM.abund_4hrsS1	FPKM.abund_4hrsS2	FPKM.abund_72hrsS1	FPKM.abund_72hrsS2	FPKM.abund_72hrsS3
1	AY849321.1	TRXPT_1	E1	+	54	2325	3	653	2155.287842	1228.331543	1041.735718	1263.124146	1063.145264	142.44664	0	2182.273193	2443.597412	40268.054688
2	AY849321.1	TRXPT_2	E1	+	54	2325	2	1964	3185.879395	3084.773438	5582.285156	5297.279297	5546.200195	8030.021484	0	4010.067383	4272.733887	2277.421387
3	AY849321.1	TRXPT_3	E1	+	225	2325	2	442	651.511414	0	181.784775	231.590454	185.216934	0	0	131.532806	126.351974	3375.988037
4	AY849321.1	TRXPT_4	E1	+	271	2303	2	722	5909.439941	0	6745.181641	6112.32373	6494.272461	0	0	4279.234375	4797.227051	20815.279297
5	AY849321.1	TRXPT_5	IM	-	2334	3678	2	1178	23.123642	0	372.48877	875.158875	461.466675	0	0	986.432068	1108.844971	79.302589
6	AY849321.1	TRXPT_6	E2	-	2334	18751	4	6408	2972.199707	7034.609863	3379.313477	2484.259277	3433.848145	4472.806641	4747.324219	712.516418	618.418945	1109.318237
7	AY849321.1	TRXPT_7	E2	-	2334	18751	5	6241	4020.853271	0	2677.908447	3253.64209	2253.381104	0	0	5330.407227	4872.981445	3489.489746
8	AY849321.1	TRXPT_8	MLP	+	4226	10549	4	2247	2116.732422	0.744736	924.768982	852.38678	902.37262	0	0	1892.727783	1435.942871	1415.215088
9	AY849321.1	TRXPT_9	MLP	+	4226	20484	6	6926	16978.226562	12875.773438	10412.787109	9643.467773	11286.46875	0	0	13089.667969	11891.276367	493.318878
10	AY849321.1	TRXPT_10	MLP	+	4226	22116	7	6820	51051.722656	0	42291.566406	37341.46875	45339.160156	48781.976562	0	34640.871094	39766.296875	47821.746094
11	AY849321.1	TRXPT_11	MLP	+	4226	22116	6	8140	13575.073242	0	30039.689453	35896.363281	26486.304688	40603.28125	96348.296875	19264.076172	17185.15625	205.141098
12	AY849321.1	TRXPT_12	MLP	+	4226	25168	4	2944	7647.469727	16093.331055	5870.382812	5487.371094	5812.897949	12722.081055	0	3685.585449	4044.019531	10253.542969
13	AY849321.1	TRXPT_13	MLP	+	4279	22116	6	2026	2384.529053	0	4636.129395	3864.832275	4715.65332	0	0	3782.475098	3527.005615	5.591239
14	AY849321.1	TRXPT_14	MLP	+	4304	16870	4	3450	35107.546875	0	33527.410156	31436.261719	33290.792969	0	0	78272.742188	79278.03125	89730.914062
15	AY849321.1	TRXPT_15	E2	-	6206	6878	2	382	0	0	0	0	0	0	0	0	0	0.070401
16	AY849321.1	TRXPT_16	MLP	+	6934	12709	4	1877	863.790222	0	257.625427	173.061356	182.671814	0	0	1452.179077	1140.86731	268.926575
17	AY849321.1	TRXPT_17	MLP	+	6934	12709	4	3448	1597.878784	0	1535.560669	1730.178223	1803.255371	0	0	5616.459473	3953.959229	463.62738
18	AY849321.1	TRXPT_18	MLP	+	6934	12709	4	640	0	0	1.788955	0.194148	2.514913	0	0	10.492084	12.072797	263.286133
19	AY849321.1	TRXPT_19	MLP	+	7401	7836	2	214	91.817696	0	63.644192	57.789898	66.799751	5890.748047	0	247.144928	205.169281	1351.94397
20	AY849321.1	TRXPT_20	MLP	+	7765	16856	2	4434	313.28595	13383.092773	155.37764	107.589447	129.672943	0	0	459.833618	390.221954	302.736572
21	AY849321.1	TRXPT_21	E2	-	16973	18751	3	1214	12634.602539	189497.625	11782.351562	10890.303711	11160.375977	10340.775391	27702.865234	5735.79834	5731.193848	17608.173828
22	AY849321.1	TRXPT_22	E3	+	18230	22491	3	2256	1894.297852	44993.675781	4.503515	4.434574	5.315258	8985.15332	0	0.176754	0.224022	40.289349
23	AY849321.1	TRXPT_23	E3	+	18230	23884	2	3844	1709.677856	17850.384766	2438.735352	2437.962891	2107.104736	16497.173828	0	906.420654	930.10437	920.507141
24	AY849321.1	TRXPT_24	E3	+	18234	22116	4	1929	4308.016113	0	43.840034	40.130524	48.076462	5028.764648	0	1.229411	1.207979	0.2587
25	AY849321.1	TRXPT_25	E3	+	18237	23702	2	5100	14720.0625	45450.136719	16917.117188	17152.041016	17805.894531	11156.874023	7491.804688	12307.515625	11941.210938	5129.935547
26	AY849321.1	TRXPT_26	E3	+	18727	23884	3	3570	441.506836	0	48.960835	51.046452	59.228214	4793.708496	0	6.084658	0.789897	171.677643
27	AY849321.1	TRXPT_27	E3	+	18727	25168	2	2719	0	0	75.729103	456.257416	325.052216	0	0	119.21727	49.777382	505.871338
28	AY849321.1	TRXPT_28	E4	-	25192	26247	2	703	19636.605469	44519.160156	2783.361084	2404.286377	2553.79126	0	15703.540039	988.907227	1062.98938	2368.728516
