Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
nbis-gene-14	ORF1	AY849321.1	+	313	1953	0.340037	10171.003906	13031.096680
nbis-gene-13	IVa2	AY849321.1	-	2334	3437	0.000000	0.000000	0.000000
nbis-gene-5	AdPOL	AY849321.1	-	3430	6768	0.217730	6512.622559	8343.976562
nbis-gene-18	pTP	AY849321.1	-	6765	10995	0.078595	2350.891357	3011.963623
nbis-gene-4	52K	AY849321.1	+	8570	9472	0.000000	0.000000	0.000000
nbis-gene-17	pIIIa	AY849321.1	+	9462	10979	0.000000	0.000000	0.000000
nbis-gene-11	III	AY849321.1	+	11001	12347	0.000000	0.000000	0.000000
nbis-gene-20	pVII	AY849321.1	+	12347	12709	0.000000	0.000000	0.000000
nbis-gene-22	pX	AY849321.1	+	12712	12888	0.000000	0.000000	0.000000
nbis-gene-19	pVI	AY849321.1	+	12906	13601	0.031609	945.471375	1211.338501
nbis-gene-10	II	AY849321.1	+	13610	16330	3.218302	96264.117188	123333.648438
nbis-gene-8	EP	AY849321.1	+	16332	16976	2.418605	72352.570312	92698.156250
nbis-gene-6	DBP	AY849321.1	-	16973	18186	3.603675	107791.187500	138102.140625
nbis-gene-1	100K	AY849321.1	+	18230	20227	1.019520	30495.335938	39070.644531
nbis-gene-2	22K	AY849321.1	+	20142	20411	3.237037	96824.507812	124051.625000
nbis-gene-3	33K	AY849321.1	+	20142	20699	2.305785	68969.398438	88363.640625
nbis-gene-21	pVIII	AY849321.1	+	20769	21371	4.527363	135420.046875	173500.250000
nbis-gene-7	E3	AY849321.1	+	21247	22116	8.390804	250981.234375	321557.312500
nbis-gene-23	-	AY849321.1	-	22260	22520	0.000000	0.000000	0.000000
nbis-gene-12	IV	AY849321.1	+	22519	23883	0.601465	17990.697266	23049.693359
4S1.1	-	AY849321.1	+	7401	7836	2.060748	61639.992188	78973.195312
4S1.2	-	AY849321.1	+	13610	16330	3.218302	96264.117188	123333.648438
4S1.3	-	AY849321.1	+	16332	16976	2.418605	72352.570312	92698.156250
4S1.4	-	AY849321.1	-	16972	18746	3.513223	105085.632812	134635.781250
4S1.5	-	AY849321.1	+	18241	20732	2.775330	83014.210938	106357.859375
4S1.6	-	AY849321.1	+	20769	22116	6.963650	362161.343750	464001.375000
nbis-gene-15	ORF7	AY849321.1	+	24512	25168	0.797565	23856.335938	30564.751953
nbis-gene-16	ORF8	AY849321.1	-	25204	25701	0.0	0.0	0.0
nbis-gene-9	hyd	AY849321.1	+	2098	2325	0.0	0.0	0.0
