Coverage 4hrs
#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
AY849321.1	1	26266	5739	24146	91.9287	32.4591	35.5	59.9
Coverage 12hrs
#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
AY849321.1	1	26266	3853	22881	87.1126	21.7698	35.4	60
Coverage 24hrs
#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
AY849321.1	1	26266	19263	24948	94.9821	108.971	35.4	59.8
Coverage 72hrs
#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
AY849321.1	1	26266	16559	25561	97.3159	93.6836	35.4	59.9
