chrom	start	end	name	score	strand	splice_site	acceptors_skipped	exons_skipped	donors_skipped	anchor	known_donor	known_acceptor	known_junction	gene_names	gene_ids	transcripts
AY849321.1	304	1616	JUNC00000001	9	+	GT-AG	0	0	0	DA	1	1	1	E1	XLOC_000001	trxptA_novel,trxptB_ORF1,trxptC_hyd,trxptD_ORF4
AY849321.1	304	1964	JUNC00000003	2	+	GT-AG	1	1	1	DA	1	1	1	E1	XLOC_000001	trxptA_novel,trxptB_ORF1,trxptC_hyd,trxptD_ORF4
AY849321.1	1655	1964	JUNC00000002	9	+	GT-AG	0	0	0	DA	1	1	1	E1	XLOC_000001	trxptA_novel,trxptB_ORF1,trxptC_hyd,trxptD_ORF4
AY849321.1	3447	10981	JUNC00000004	1	-	GT-AG	3	1	3	NDA	1	1	0	E2,IM	XLOC_000003,XLOC_000003	IVa2,ptp_pol1,ptp_pol2,trunc_hypothetical
AY849321.1	3447	3615	JUNC00000005	5	-	GT-AG	0	0	0	DA	1	1	1	E2,IM	XLOC_000003,XLOC_000003	IVa2,ptp_pol1,ptp_pol2
AY849321.1	4360	7454	JUNC00000006	32	+	GT-AG	0	0	1	DA	1	1	1	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2
AY849321.1	6551	6842	JUNC00000009	2	+	GT-AG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	7531	7754	JUNC00000007	58	+	GT-AG	0	0	0	DA	1	1	1	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2
AY849321.1	7531	7738	JUNC00000015	1	+	GT-AG	0	0	0	D	1	0	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2
AY849321.1	7807	13610	JUNC00000008	18	+	GT-AG	5	0	0	DA	1	1	1	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	8570	JUNC00000010	5	+	GT-AG	0	0	0	DA	1	1	1	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	11001	JUNC00000014	1	+	GT-AG	2	0	0	DA	1	1	1	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	12238	JUNC00000012	7	+	GT-AG	3	0	0	DA	1	1	1	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	12466	JUNC00000013	3	+	GT-AG	4	0	0	DA	1	1	1	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	12904	JUNC00000017	2	+	GT-AG	5	0	0	D	1	0	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	12922	JUNC00000016	1	+	GT-AG	5	0	0	D	1	0	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	22492	JUNC00000011	6	+	GT-AG	9	5	3	DA	1	1	1	E3,MLP	XLOC_000002,XLOC_000002	100K:Fib,22K:Fib,33K:E3,33K_pVIII_E3_Fib,33K_pVIII_E3_lngr_tts,33K_pVIII_E3_xtra_exon,52K,E3_Fib_ORF7,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7807	18717	JUNC00000018	2	+	GT-AG	6	2	1	DA	1	1	1	E3,MLP	XLOC_000002,XLOC_000002	100K:Fib,22K:Fib,33K:E3,33K_pVIII_E3_lngr_tts,33K_pVIII_E3_xtra_exon,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	11079	18159	JUNC00000021	2	-	GT-AG	0	0	1	DA	1	1	1	E2	XLOC_000003	DBP,ptp_pol1,ptp_pol2
AY849321.1	15921	16156	JUNC00000024	1	-	GT-AG	0	0	0	N	0	0	0	NA	NA	NA
