gene_name,count,start,end,size,tpm,tpm_percentage
ORF1,69,313,1953,1641,4.968982745531481,0.4292750560146252
Hyd,20,2098,2325,228,10.366260723896719,0.8955509368421051
IVa2,92,2334,3437,1104,9.847947687701883,0.8507733899999999
AdPOL,214,3430,6768,3339,7.57398312728914,0.6543234697574124
52K,67,8570,9472,903,8.768272359814302,0.7574992309634552
pTP,191,6765,10995,1794,12.581658918736185,1.0869412541137122
pIIIa,52,9462,10979,1518,4.048168219450576,0.34972502988142284
III,90,11001,12347,1347,7.895904604838927,0.6821345665924277
pVII,113,12347,12709,363,36.78737483339877,3.1780956386776853
pX,105,12712,12888,177,70.10403438703034,6.056352945762709
pVI,259,12906,13601,696,43.97618019163427,3.799143241551724
Hexon,2035,13610,16330,2721,88.38180173968394,7.635386322601984
Protease,610,16332,16976,645,111.76275515345392,9.655288705116277
DBP,1233,16973,18186,1143,127.4805196738732,11.013161048503935
100K,527,18230,20227,1998,31.17038096948284,2.6928382974774774
22K,184,20142,20411,270,80.53432775720651,6.957435722666666
33K,374,20142,20699,363,121.75644413885964,10.51865282181818
pVIII,681,20769,21371,603,133.4617388124375,11.529884151044776
E3,1046,21247,22116,870,142.08211422532648,12.27460642675862
UXP,61,22260,22520,261,27.6195314459685,2.3860770937931033
Fiber,111,22520,23884,1365,9.609865435911289,0.83020524210989
ORF7,193,24512,25168,657,34.71513979409065,2.999073319999999
ORF8,135,25204,25701,498,32.03549247806637,2.7675760879518068
