Name	Timepoint	start	end	Strand	Frequency	Total_Reads
1	JUNC_1	72hpi	297	1616	+	1	5
2	JUNC_2	72hpi	303	1612	+	1	2
3	JUNC_3	72hpi	304	476	+	1	15
4	JUNC_4	72hpi	304	510	+	1	6
5	JUNC_5	72hpi	304	592	+	1	2
6	JUNC_6	72hpi	304	594	+	1	31
7	JUNC_7	72hpi	304	644	+	1	24
8	JUNC_8	72hpi	304	651	+	1	14
9	JUNC_9	72hpi	304	665	+	1	36
10	JUNC_10	24hpi	304	1508	+	1	11
11	JUNC_11	12hpi,24hpi,72hpi	304	1616	+	3	26069
12	JUNC_12	72hpi	304	1641	+	1	114
13	JUNC_13	12hpi,24hpi,72hpi	304	1964	+	3	1758
14	JUNC_14	72hpi	304	1984	+	1	354
15	JUNC_15	72hpi	304	3773	+	1	2
16	JUNC_16	72hpi	304	7454	+	1	242
17	JUNC_17	72hpi	509	1616	+	1	134
18	JUNC_18	72hpi	752	1011	+,-	2	7
19	JUNC_19	72hpi	966	1616	+	1	153
20	JUNC_20	72hpi	1176	12318	+	1	7
21	JUNC_21	72hpi	1259	13423	+	1	1
22	JUNC_22	72hpi	1300	22664	+	1	4
23	JUNC_23	72hpi	1450	1616	+	1	924
24	JUNC_24	24hpi,72hpi	1477	1616	+	2	545
25	JUNC_25	72hpi	1477	1964	+	1	45
26	JUNC_26	72hpi	1607	21934	+	1	5
27	JUNC_27	24hpi	1649	1935	+	1	1
28	JUNC_28	72hpi	1653	1965	+	1	2
29	JUNC_29	72hpi	1654	1964	+	1	11
30	JUNC_30	72hpi	1655	1749	+	1	606
31	JUNC_31	72hpi	1655	1874	+	1	305
32	JUNC_32	12hpi,24hpi,72hpi	1655	1964	+	3	39895
33	JUNC_33	72hpi	1655	1965	+	1	33
34	JUNC_34	24hpi,72hpi	1655	1984	+	2	898
35	JUNC_35	72hpi	1655	1997	+	1	333
36	JUNC_36	72hpi	1684	15778	+	1	2
37	JUNC_37	72hpi	1696	2218	+	1	6
38	JUNC_38	72hpi	1704	1964	+	1	70
39	JUNC_39	24hpi,72hpi	1705	1964	+	2	789
40	JUNC_40	24hpi,72hpi	1730	1962	+,-	3	476
41	JUNC_41	72hpi	1731	1964	+	1	5
42	JUNC_42	72hpi	1742	1817	+	1	2
43	JUNC_43	72hpi	1814	1901	+	1	4
44	JUNC_44	72hpi	1814	1964	+	1	37
45	JUNC_45	72hpi	1814	1984	+	1	91
46	JUNC_46	72hpi	1814	1988	+	1	7
47	JUNC_47	24hpi,72hpi	1814	1997	+	2	44
48	JUNC_48	72hpi	1814	2198	+	1	52
49	JUNC_49	72hpi	1816	1943	+	1	15
50	JUNC_50	72hpi	1986	2100	-	1	21
51	JUNC_51	72hpi	2004	15307	+	1	12
52	JUNC_52	72hpi	2016	20044	+	1	26
53	JUNC_53	72hpi	2044	16489	+	1	2494
54	JUNC_54	72hpi	2059	2144	+,-	2	43
55	JUNC_55	72hpi	2066	2118	+	1	161
56	JUNC_56	72hpi	2066	2166	+	1	85
57	JUNC_57	72hpi	2067	2162	-	1	5
